Lidar data points
X-3244.074232881256 Y1117.0243379425042 P0.9966666666666678
X-1620.6003037669416 Y526.5649584149105 P0.9966666666666668
X-1627.6306946490865 Y497.6166414380977 P0
X-1635.1061447910804 Y468.85914224471566 P0.35999999999999943
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X-923.8592703245056 Y16.126023548049897 P0.3833333333333333
X-531 Y6.502874503472445e-14 P0.7733333333333334
X-1352.7939315465974 Y-23.61310590964476 P0.49333333333333373
X-455.7222171207077 Y-15.914170496340411 P0
X-850.8323636108969 Y-44.590234718987915 P0
X-902.7954654851409 Y-63.129608738433376 P0.6666666666666667
X-300.8507988237072 Y-26.321034309792697 P0.39
X0 Y0 P1
X-2916.1005935222042 Y-358.0521309243228 P0
X-2958.920989399812 Y-415.8492256686758 P0
X-596.5637577194632 Y-94.48641688429936 P0
X-154.61481722291666 Y-27.262763893708083 P0.18666666666666665
X-1371.3331752763866 Y-266.56016654103297 P0
X-700.3536821254048 Y-148.8647706255158 P0.9733333333333329
X-263.0799174920135 Y-60.73678467284354 P0.8200000000000001
X-640.3951793421577 Y-159.66845109578057 P0.9766666666666666
X-765.9791802472312 Y-205.243502766299 P0.9866666666666665
X-768.0480950547168 Y-220.2342472977822 P0.9966666666666668
X-290.71664581276275 Y-88.88099823571198 P0.6533333333333333
X-522.1300274460393 Y-169.65032991184606 P1
X-893.5150539413543 Y-307.6619059620131 P1
X-869.2156742269653 Y-316.3686325762435 P0.8800000000000002
X-872.8976987748837 Y-335.0740328248559 P0.9966666666666668
X-844.6644915103434 Y-341.26660660189583 P0.9933333333333337
X-818.3288147192195 Y-347.3599732269642 P0.9866666666666665
X-792.0439117761349 Y-352.64066954671875 P0.9833333333333333
X-766.7363878330059 Y-357.5350494326316 P0.9866666666666669
X-742.4038822431119 Y-362.094567247778 P0.9900000000000001
X-719.0422650200129 Y-366.3703332898142 P0.9900000000000001
X-697.5285983585522 Y-370.8825346008538 P0.9900000000000001
X-676.0810336187529 Y-374.75783645041844 P0.9900000000000001
X-657.3132814723889 Y-379.50000000000006 P0.9966666666666664
X-640.3039736244779 Y-384.73344195781044 P1
X-625.011446867286 Y-390.55049773987196 P0.9966666666666664
X-606.3588206245416 Y-393.77402231586456 P1
X-588.6166765140797 Y-397.02696146423017 P0.9933333333333333
X-574.2255830465832 Y-402.07708188208335 P1
X-558.2217261187137 Y-405.57182408180637 P1
X-543.0721468321591 Y-409.2342157433929 P0.9966666666666668
X-527.179194162897 Y-411.87752699286534 P1
X-512.9163345616007 Y-415.3514580928928 P1
X-498.6949324704548 Y-418.4547339059371 P0.9966666666666664
X-484.5235505030197 Y-421.1898966119055 P0.9966666666666668
X-470.41067452719057 Y-423.5596738251573 P0.9933333333333333
X-457.0960635119816 Y-426.24897503906146 P0.9966666666666666
X-444.5519966092864 Y-429.2988729436604 P0.9966666666666666
X-432.0422433049806 Y-432.0422433049805 P0.9966666666666666
X-420.2683141276933 Y-435.200579204884 P1
X-407.83501931737413 Y-437.34951356826394 P0.9966666666666666
X-396.12531896444403 Y-439.94173668261743 P0.9966666666666668
X-385.1066500174278 Y-443.01452359076717 P1
X-373.45960122787943 Y-445.0718214521262 P0.9966666666666666
X-362.4885452447066 Y-447.63607379921507 P1
X-352.77402536160207 Y-451.5301618166518 P1
X-343.03456319666753 Y-455.2222407269569 P1
X-332.0986675452474 Y-457.09460182184523 P1
X-321.776380792937 Y-459.54429684612427 P1
X-311.47044723320585 Y-461.77392791315833 P1
X-301.7300253983249 Y-464.6234946417649 P1
X-290.9256760640296 Y-465.5784047898778 P1
X-281.7258269757998 Y-468.8705134840553 P0.9899999999999999
X-269.0000000000002 Y-465.92166723602793 P1
X-259.3731468317902 Y-467.92154331957676 P1
X-250.22834296487977 Y-470.6110669938081 P0.9966666666666668
X-240.61496486195986 Y-472.23345781983494 P1
X-231.45996550463303 Y-474.56325644596006 P1
X-222.29720567560776 Y-476.71789598127793 P0.9966666666666666
X-213.13000097171926 Y-478.69781980472294 P1
X-204.3523801998902 Y-481.42403835562624 P0.9966666666666668
X-195.1700351696903 Y-483.0627882292962 P1
X-116.46958360222273 Y-303.41363861159056 P0.6366666666666667
X-49.93494092554761 Y-137.19512263474263 P0.9033333333333333
X-74.88067552514603 Y-217.46927238784286 P0.9966666666666666
X-70.45587471748804 Y-216.840885715295 P1
X-66.07600526733859 Y-216.12487484764597 P1
X-62.56967977045875 Y-218.20640497799837 P1
X-59.269561328477224 Y-221.19701422019665 P1
X0 Y0 P1
X-43.640504542709856 Y-189.02779256833563 P0.8933333333333332
X-47.40386550644923 Y-223.01765296730767 P1
X-12.4025846994754 Y-63.80576692409816 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X0 Y0 P1
X-29.477026641478247 Y-280.4551744938531 P0.9233333333333333
X-30.068731247942097 Y-343.68717084165223 P0.8933333333333332
X-28.181615392626735 Y-403.01587630496897 P0.8333333333333334
X-27.21469724633104 Y-519.2873580723784 P1
X-18.182637782002896 Y-520.6826208769489 P0.9966666666666666
X-9.145060973136554 Y-523.9201922619491 P1
X-9.662463245272616e-14 Y-526 P1
X9.214870598885494 Y-527.9195830425746 P0.9966666666666666
X18.56653224573068 Y-531.675919974159 P1
X27.947400633732066 Y-533.2681715589424 P0.9966666666666666
X37.45922640059524 Y-535.6918949895256 P1
X47.06410108373526 Y-537.9451369695425 P0.9966666666666666
X56.86348401760323 Y-541.0199110803408 P1
X66.78440018602093 Y-543.9152910994444 P1
X76.82355172995614 Y-546.6279739453469 P1
X86.82112809732803 Y-548.1670290303015 P0.9966666666666666
X97.06933131581386 Y-550.5075339338243 P1
X107.61627339237144 Y-553.6377314644824 P0.9966666666666666
X118.09384038448735 Y-555.5878372168015 P1
X129.12190519337847 Y-559.288417186725 P1
X140.07277755220744 Y-561.801225513802 P1
X151.15032233987185 Y-564.100682552816 P1
X162.90167728784664 Y-568.1056622995465 P0.9966666666666666
X174.2535360147511 Y-569.9576345539691 P1
X186.02823061371822 Y-572.5360228096824 P1
X198.2710060644082 Y-575.820812539984 P1
X210.6844082886121 Y-578.8506544041195 P1
X223.26323256672214 Y-581.6206057077567 P0.9966666666666666
X236.37676044544045 Y-585.0530122316428 P0.9966666666666666
X250.06792223313505 Y-589.1231062095619 P1
X263.56534471311824 Y-591.9774565524056 P1
X277.23757970189894 Y-594.5379082960422 P0.9966666666666668
X290.6400703211583 Y-595.9004526963478 P1
X305.5356063247149 Y-599.6473907787716 P0.9966666666666668
X320.64907738276315 Y-603.0532059226472 P1
X336.94268607120443 Y-607.8606964618799 P0.9933333333333333
X352.50000000000006 Y-610.5479096680292 P0.9966666666666668
X369.2822997105088 Y-614.5889546034145 P0.9966666666666664
X386.3111436260062 Y-618.2270620980346 P0.9933333333333333
